,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area
0,Maize,1990,36613,1485.0,121.0,16.37,Kenya
6,Maize,1991,29068,1485.0,121.0,15.36,Kenya
12,Maize,1992,24876,1485.0,121.0,16.06,Kenya
18,Maize,1993,24185,1485.0,121.0,16.05,Kenya
23,Maize,1994,25848,1485.0,201.0,16.96,Kenya
27,Maize,1995,31300,1485.0,251.0,15.67,Kenya
31,Maize,1996,32604,1485.0,313.96,15.64,Kenya
35,Maize,1997,31862,1485.0,376.93,15.9,Kenya
39,Maize,1998,33416,1485.0,439.89,16.27,Kenya
43,Maize,1999,37455,1485.0,502.86,16.57,Kenya
47,Maize,2000,38811,1485.0,565.82,16.67,Kenya
51,Maize,2001,38135,1485.0,628.79,16.59,Kenya
55,Maize,2002,39460,1485.0,691.75,16.47,Kenya
59,Maize,2004,46197,1485.0,817.68,16.16,Kenya
63,Maize,2005,45442,1485.0,880.64,15.67,Kenya
67,Maize,2006,50111,1485.0,943.61,15.92,Kenya
71,Maize,2007,46732,1485.0,1006.57,16.67,Kenya
75,Maize,2008,50000,1485.0,1069.54,16.71,Kenya
79,Maize,2009,55693,1485.0,1132.5,16.73,Kenya
83,Maize,2010,66790,1485.0,1311.17,16.52,Kenya
87,Maize,2011,59869,1485.0,1302.63,16.45,Kenya
91,Maize,2012,67290,1485.0,766.25,16.7,Kenya
95,Maize,2013,69533,1485.0,982.32,17.41,Kenya
99,Maize,1990,16500,89.0,1828.92,17.48,Kenya
104,Maize,1991,19231,89.0,2461.8,16.26,Kenya
109,Maize,1992,22828,89.0,1215.47,16.27,Kenya
114,Maize,1993,12500,89.0,1021.89,17.0,Kenya
119,Maize,1994,4512,89.0,1255.02,17.88,Kenya
123,Maize,1995,16115,89.0,2697.09,17.36,Kenya
128,Maize,1996,17154,89.0,479.77,16.76,Kenya
133,Maize,1997,21417,89.0,401.22,17.84,Kenya
138,Maize,1998,17222,89.0,322.84,17.14,Kenya
143,Maize,1999,22375,89.0,654.45,17.97,Kenya
148,Maize,2000,36186,89.0,603.67,17.9,Kenya
153,Maize,2001,27175,89.0,710.11,18.13,Kenya
